Fecha;pm25;so2;ws;wd
180213;25;3,85;1,964820542;149,897025
180214;23;7,13;2,249669917;178,880275
180215;16;4,98;2,067308458;234,8860208
180216;18;5,66;1,798304083;207,0738708
180217;17;8,11;1,859747958;205,8975395
180218;14;6,46;1,810728458;196,0526292
180219;12;3,99;2,028571792;213,6643642
180220;17;7,31;2,232861833;170,4867083
180221;12;6,4;2,023350292;188,8508271
180222;12;3,22;2,238242;179,1007833
180223;14;6,31;2,067296246;188,794475
180224;12;5,41;2,62478775;224,1149856
180225;21;8,25;1,723820208;168,8895958
180226;12;3,25;1,531807333;168,8199458
180227;10;4,79;1,853691208;214,6621625
180228;9;3,51;2,185151375;242,8290417
180301;13;6,04;1,869203958;196,2829542
180302;11;5,57;1,960518833;222,0436417
180303;9;3,27;2,347847875;220,1789417
180304;14;7,22;2,054454417;197,9380542
180305;10;2,1;1,7201285;161,2430083
180306;13;1,46;1,893154583;192,7355333
180307;9;2,06;1,1083915;149,83125
180308;11;3,22;1,354475292;197,2822583
180309;11;2,27;2,077044254;176,411575
180310;9;3,39;2,649856375;206,9436958
180311;;3,43;2,338835208;196,9454958
180312;13;3,5;2,69014525;153,7215833
180313;14;2,47;2,174983458;153,560775
180314;13;3,88;2,435459417;174,6994042
180315;14;3;2,296914833;161,2043167
180316;8;2,56;2,194270333;157,2669663
180317;8;2,4;2,478119542;194,792425
180318;8;2,19;2,660182708;219,3206833
180319;10;3,27;2,620704;138,5436083
180320;11;3,79;1,970123208;166,0826958
180321;13;4,31;1,898066625;159,2781292
180322;12;5,53;1,929418292;178,2465263
180323;9;4,04;2,075206792;179,1029083
180324;16;4,35;1,955139917;179,3579208
180325;19;3,53;2,01538225;154,0333188
180326;13;2,6;2,063477792;170,9021583
180327;11;3,04;1,918092542;175,3702708
180328;15;1,83;1,372155333;155,6401667
180329;17;3,25;1,499378833;159,5272958
180330;19;2,55;1,847339708;199,0866583
180331;11;2,28;2,211302917;204,7345208
180401;12;3,69;1,477731292;192,5722333
